Chinese character,English,Type,Pingyin,IPA,Usage note
我,"I, me",Pronoun,wǒ,[wo],
你,you,Pronoun,nǐ,[ni],
她,she/her,Pronoun,tā,[ta],
他,he/him,Pronoun,tā,[ta],
它,it,Pronoun,tā,[ta],
咱,us/we,Pronoun,zán,[zɜn],informal
您,you,Pronoun,nín,[nin],formal
这,this,Pronoun,zhè,[tsɤ],
那,that,Pronoun,nà,[na],
我们,we/us,Pronoun,wǒ men,[wo mən],plural
你们,you,Pronoun,nǐ men,[ni mən],plural
他们,they/them (a male-only group or a group of male and female),Pronoun,tā men,[ta mən],plural
她们,they/them (a female-only group),Pronoun,tā men,[ta mən],plural
它们,they/them (a group of animals/inanimate objects),Pronoun,tā men,[ta mən],plural
这些,these,Pronoun,zhè xiē,[tsɤ ʒie],plural
那些,those,Pronoun,nà xiē,[na ʒie],plural
咱们,we/us,Pronoun,zán men,[zɜn mən]],"plural, informal"
是,is/are/am/was/were,Special use,shì,[ʃi],
们,indicate plural,Special use,men,[mən],
的,indicate posession,Special use,de,[də],
地,use after adj to form an adv,Special use,de,[də],
得,use before adj to form an adv,Special use,de,[də],
妈妈,mom,Noun,mā mā,[ma ma],
爸爸,dad,Noun,bā bā,[ba ba],
母亲,mother,Noun,mǔ qīn,[mu tʃin],
父亲,father,Noun,fù qīn,[fu tʃin],
奶奶,grandma (on dad side),Noun,nǎi nǎi,[nai nai],
爷爷,grandpa (on dad side),Noun,yé yé,[ye ye],
祖母,grandmother (on father side),Noun,zǔ mǔ,[tsu mu],
祖父,grandfather (on father side),Noun,zǔ fù,[tsu fu],
姥姥,grandma (on mom side),Noun,lǎo lǎo,[lau lau],
姥爷,grandpa (on mom side),Noun,lǎo yé,[lau ye],
外婆,grandmother (on mother side),Noun,wài pó,[wai po],
外公,grandfather (on mother side),Noun,wài gōng,[wai gonŋ],
姐姐,sister (elder),Noun,jǐe jie,[tɕie tɕie],
妹妹,sister (younger),Noun,mèi mèi,[mei mei],
姐妹,sister,Noun,jǐe mèi,[tɕie mei],
哥哥,brother (elder),Noun,gē gē,[gə gə],
弟弟,brother (younger),Noun,dì dì,[di di],
兄弟,brother,Noun,xīong dì,[ʒionŋ di],
姨妈,aunt (mom's sister),Noun,yí mā,[yi ma],
舅舅,uncle (mom's brother),Noun,jiù jiù,[tɕiu tɕiu],
姑姑,aunt (dad's sister),Noun,gū gū,[gu gu],
叔叔,uncle (dad's brother),Noun,shū shū,[ʃu ʃu],
妻子,wife,Noun,yī zi,[tʃi zi],
丈夫,husband,Noun,zhàng fū,,
未婚妻,fiancé (female),Noun,wèi hūn qī,,
未婚夫,fiancé (male),Noun,wèi hūn fū,,
婆婆,mother-in-law (husband side),Noun,pó pó,,
公公,father-in-law (husband side),Noun,gōng gōng,,
岳母,mother-in-law (wife side),Noun,yuè mǔ,,
岳父,father-in-law (wife side),Noun,yuè fù,,
女儿,daughter,Noun,nǚ er,,
儿子,son,Noun,ér zi,,
经理,manager,Noun,jīng lǐ,,
员工,employee,Noun,yúan gōng,,
老板,boss,Noun,lǎo bǎn,,
同事,colleague,Noun,tóng shì,,
老师,teacher,Noun,lǎo shi,,
学生,student,Noun,xué shēng,,
工程师,engineer,Noun,gōng chéng shī,,
程序员,programmer,Noun,chéng xù yuán,,
医生,doctor,Noun,yī shēng,,
演员,actor,Noun,yǎn yuán,,
护士,nurse,Noun,hù shì,,
教授,professor,Noun,jiào shòu,,
朋友,friend,Noun,péng yǒu,,
苹果,apple,Noun,píng guǒ,,
香蕉,banana,Noun,xiāng jīao,,
牛奶,milk,Noun,niú nǎi,,
奶酪,cheese,Noun,nǎi lào,,
面包,bread,Noun,miàn bāo,,
面条,noodle,Noun,miàn tiáo,,
米饭,rice (cooked),Noun,mǐ fàn,,
橙子,orange,Noun,chéng zi,,
水果,fruit,Noun,shuǐ guǒ,,
蔬菜,vegetable,Noun,shū cài,,
豆腐,tofu,Noun,dòu fù,,
西红柿,tomato,Noun,xì hóng shì,,
土豆,potato,Noun,tǔ dòu,,
豆浆,soy milk,Noun,dòu jīang,,
拉面,ramen,Noun,lā mìan,,
碗,bowl,Noun,wǎn,,
筷子,chopstick,Noun,kuài zi,,
刀,knife,Noun,dāo,,
叉子,fork,Noun,chà zi,,
盘子,plate,Noun,pán zi,,
杯子,glass,Noun,bēi zi,,
勺子,spoon,Noun,sháo zi,,
桌,table,Noun,zhuō,,
椅,chair,Noun,yǐ,,
座位,seat,Noun,zuò wèi,,
汽车,car,Noun,qì chē,,
飞机,plane,Noun,fēi jī,,
火车,train,Noun,huǒ chē,,
出租车,taxi,Noun,chū zū chē,,
地铁,subway,Noun,dì tǐe,,
公交车,bus,Noun,gōng jiāo chē,,
机场,airport,Noun,jī chǎng,,
车站,station,Noun,chē zhàn,,
酒店,hotel,Noun,lǚ guǎn,,
餐厅,restaurant,Noun,cān guǎn,,
医院,hospital,Noun,yī yuàn,,
名字,name,Noun,míng zi,,
护照,passport,Noun,hù zhào,,
工作,job,Noun,gōng zuò,,
任务,task,Noun,rèn wù,,
项目,project,Noun,xiàng mù,,
公司,company,Noun,gōng sī,,
学校,school,Noun,xué xiào,,
大学,university,Noun,dà xué,,
电脑,computer,Noun,diàn nǎo,,
屏幕,screen,Noun,píng mù,,
鼠标,mouse (computer),Noun,shǔ biāo,,
手机,cellphone,Noun,shǒu jī,,
一,one,Number,yī,,
二,two,Number,èr,,
三,three,Number,sān,,
四,four,Number,sì,,
五,five,Number,wǔ,,
六,six,Number,liù,,
七,seven,Number,qī,,
八,eight,Number,bā,,
九,nine,Number,jiǔ,,
十,ten,Number,shí,,
百,hundred,Number,bǎi,,
千,thousand,Number,qiān,,
万,ten thousand,Number,wàn,,
亿,billion,Number,yì,,
兆,trillion,Number,zhào,,
几,some,Number,jǐ,,
个,measuring a single object/person,Measure word,gè,,
只,measuring a single animal,Measure word,zhī,,
位,measuring a single person,Measure word,wèi,,formal
棵,measuring a plant,Measure word,kē,,
些,measuring an indetermined group of things,Measure word,xiē,,
本,measuring a book or a book of binded paper,Measure word,běn,,
有趣,interesting,Adjective,yǒu qù,,
无趣,boring,Adjective,wú qù,,
好,good,Adjective,hǎo,,
坏,bad,Adjective,huài,,
漂亮,pretty,Adjective,piào liàng,,
美丽,beautiful,Adjective,měi lì,,
勇敢,brave,Adjective,yǒng gǎn,,
害羞,shy,Adjective,hàn xīu,,
聪明,smart,Adjective,cōng míng,,
勤奋,diligent,Adjective,qín fèn,,
懒,lazy,Adjective,lǎn,,
大,big,Adjective,dà,,
小,small,Adjective,xiǎo,,
复杂,complicated,Adjective,fù zá,,
简单,simple,Adjective,jiǎn dān,,
长,long,Adjective,cháng,,
短,short,Adjective,duǎn,,
厚,thick,Adjective,hòu,,
薄,thin,Adjective,bó,,
累,tired,Adjective,lèi,,
饿,hungry,Adjective,è,,
渴,thirsty,Adjective,kě,,
困,sleepy,Adjective,kùn,,
晕,dizzy,Adjective,yūn,,
烦,annoyed,Adjective,fán,,
生气,angry,Adjective,shēng qì,,
快乐,happy,Adjective,kuài lè,,
兴奋,excited,Adjective,xìng fèn,,
伤心,sad,Adjective,shāng xīn,,
痛苦,painful,Adjective,tòng kǔ,,
快,fast,Adjective,kuài,,
慢,slow,Adjective,màn,,
热,hot,Adjective,rè,,
暖,warn,Adjective,nuǎn,,
冷,cold,Adjective,lěng,,
湿,wet,Adjective,shī,,
干,dry,Adjective,gān,,
甜,sweet,Adjective,tián,,
辣,spicy,Adjective,là,,
酸,sour,Adjective,suān,,
苦,bitter,Adjective,kǔ,,
咸,salty,Adjective,xián,,
淡,light (favor),Adjective,dàn,,
重,heavy (weigh),Adjective,zhòng,,
轻,light (weigh),Adjective,qīng,,
难,difficult,Adjective,nán,,
容易,easy,Adjective,róng yì,,
勉强,reluctant,Adjective,miǎn qiǎng,,
非常,very,Adverb,fēi cháng,,
很,quite,Adverb,hěn,,
十分,completely,Adverb,shí fēn,,
真的,really,Adverb,zhēn de,,
绝对,absolutely,Adverb,jué duì,,
极度,completely,Adverb,jí dù,,
有点,a little,Adverb,yǒu diǎn,,
有些,somewhat,Adverb,yǒu xiē,,
并不,not really,Adverb,bìng bù,,
喜欢,like,Verb,xǐ huān,,
做,do,Verb,zuò,,
打,hit,Verb,dǎ,,
学习,study,"Verb, Noun",xué xí,,
工作,work,"Verb, Noun",gōng zuò,,
跳舞,dance,Verb,tiào wǔ,,
攀岩,climb,Verb,pān yán,,
编程,code,Verb,biān chéng,,
做饭,cook,Verb,zuò fàn,,
去,go,Verb,qù,,
来,come,Verb,lái,,
有,have,Verb,yǒu,,
知道,know,Verb,zhī dào,,
拿,take,Verb,ná,,
说,say,Verb,shuō,,
要,want,Verb,yào,,
用,use,Verb,yòng,,
找,find,Verb,zhǎo,,
给,give,Verb,gěi,,
问,ask,Verb,wèn,,
想,think,Verb,xiǎng,,
跑,run,Verb,pǎo,,
跳,jump,Verb,tiào,,
让,let,Verb,ràng,,
坐,sit,Verb,zuò,,
写,write,Verb,xiě,,
读,read,Verb,dú,,
看,see,Verb,kàn,,
站,stand,Verb,zhàn,,
听,listen,Verb,tīng,,
打字,type,Verb,dǎ zì,,
睡觉,sleep,Verb,shuì jiào,,
继续,continue,Verb,jì xù,,
教,teach,Verb,jiāo,,
学,learn,Verb,xué,,
吃,eat,Verb,chī,,
爱,love,Verb,ài,,
喝,drink,Verb,hē,,
开发,develop,Verb,kāi fā,,
停止,stop,Verb,tíng zhǐ,,
明白,understand,Verb,míng bái,,
今天,today,Adverb. time,jīn tīan,,
昨天,yesterday,Adverb. time,zuó tīan,,
明天,tomorrow,Adverb. time,míng tīan,,
已经,already,Adverb. time,yǐ jīng,,
后天,day after tomorrow,Adverb. time,hòu tiān,,
将来,in the future,Adverb. time,jiāng lái,,
曾经,once,Adverb. time,céng jīng,,
从前,before,Adverb. time,cóng qián,,
现在,now,Adverb. time,xiàn zài,,
刚才,just now,Adverb. time,gāng cái,,
今年,this year,Adverb. time,jīn nián,,
去年,last year,Adverb. time,qù nián,,
明年,next year,Adverb. time,míng nián,,
清晨,dawn,Adverb. time,qīng chén,,
早上,morning,Adverb. time,zǎo shàng,,
中午,noon,Adverb. time,zhōng wǔ,,
下午,afternoon,Adverb. time,xià wǔ,,
傍晚,dawn,Adverb. time,bàng wǎn,,
晚上,evening,Adverb. time,wǎn shàng,,
半夜,midnight,Adverb. time,bàn yè,,